NomFrançais,NomAnglais,CAS,Classification,PourcentageDeDivulgation,Commentaire
Chlorate de baryum monohydraté,Barium chlorate monohydrate,10294-38-9,Class C - Oxidizing materials,"1,0%",
Chlorate de baryum monohydraté,Barium chlorate monohydrate,10294-38-9,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorate de potassium,Potassium chlorate,3811-04-9,Class C - Oxidizing materials,"1,0%",
Chlorate de sodium,Sodium chlorate,7775-09-9,Class C - Oxidizing materials,"1,0%",
Chlorate de sodium,Sodium chlorate,7775-09-9,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlore,Chlorine,7782-50-5,Class A - Compressed gases,"1,0%","Tel que présenté dans l'interprétation d'une politique de Santé Canada,  le symbole de danger D1 (tête de mort) n'a pas à apparaître sur l'étiquette du fournisseur. Cependant, tous les dangers pour la santé et la sécurité que présentent ce produit doivent être divulgués sur l'étiquette et la fiche signalétique."
Chlore,Chlorine,7782-50-5,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%","Tel que présenté dans l'interprétation d'une politique de Santé Canada,  le symbole de danger D1 (tête de mort) n'a pas à apparaître sur l'étiquette du fournisseur. Cependant, tous les dangers pour la santé et la sécurité que présentent ce produit doivent être divulgués sur l'étiquette et la fiche signalétique."
Chlore,Chlorine,7782-50-5,Class E - Corrosive materials,"1,0%","Tel que présenté dans l'interprétation d'une politique de Santé Canada,  le symbole de danger D1 (tête de mort) n'a pas à apparaître sur l'étiquette du fournisseur. Cependant, tous les dangers pour la santé et la sécurité que présentent ce produit doivent être divulgués sur l'étiquette et la fiche signalétique."
"Chlorhydrate de N,N,N',N'-tétraméthyl diamino-1,4 benzène","p-Phenylenediamine, N,N,N',N',tetramethyl-, dihydrochloride",637-01-4,Not controlled product,Non requise,
Chlorite de sodium,Sodium chlorite,7758-19-2,Class C - Oxidizing materials,"1,0%",
Chlorite de sodium,Sodium chlorite,7758-19-2,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chloro(o-hydroxyphényl)mercure,Chloro(o-hydroxyphenyl)mercury,90-03-9,Classification not available,"1,0%",
Chloro-1 fluoro-1 éthane,1-Chloro-1-fluoroethane,1615-75-4,Not controlled product,Non requise,
Chloro-1 naphtalène,1-Chloronaphthalene,90-13-1,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chloro-1 nitro-1 propane,1-Chloro-1-nitropropane,600-25-9,Class B3 - Combustible liquids,"1,0%",
Chloro-1 octadécane,Octadecyl chloride,3386-33-2,Not controlled product,Non requise,
Chloro-1 pentane,Amyl chloride,543-59-9,Class B2 - Flammable liquids,"1,0%",
Chloro-1 propanol-2,sec-Propylene chlorohydrin,127-00-4,Class B3 - Combustible liquids,"1,0%",
Chloro-1 propanol-2,sec-Propylene chlorohydrin,127-00-4,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chloro-1 propanol-2,sec-Propylene chlorohydrin,127-00-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chloro-1 propanone-2,Chloroacetone,78-95-5,Class B2 - Flammable liquids,"1,0%",
Chloro-1 propanone-2,Chloroacetone,78-95-5,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chloro-1 propanone-2,Chloroacetone,78-95-5,Class E - Corrosive materials,"1,0%",
2-Chloro-1-propanol,Propylene chlorohydrin,78-89-7,Classification not available,"1,0%",
3-Chloro-1-propanol,3-Chloro-1-propanol,627-30-5,Classification not available,"1,0%",
Chloro-2 aniline,o-Chloroaniline,95-51-2,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chloro-2 naphtalène,2-Chloronaphthalene,91-58-7,Not controlled product,Non requise,
"Chloro-2 tétrafluoro-1,1,1,2 éthane","2-Chloro-1,1,1,2-tetrafluoroethane",2837-89-0,Class A - Compressed gases,"1,0%",
"Chloro-2 tétrafluoro-1',1',1',2 éthaneazométhane","2-Chloro-1',1',1',2-tetrafluoroethaneazomethane",675-69-4,Not controlled product,Non requise,
"Chloro-2 trifluoro-1,1,1 éthane","2-Chloro-1,1,1-trifluoroethane",75-88-7,Class D2A - Very toxic material causing other toxic effects,"0,1%",
4-Chloro-2-cyclopentylphénol,4-Chloro-2-cyclopentylphenol,13347-42-7,Classification not available,"1,0%",
Chloro-3 aniline,m-Chloroaniline,108-42-9,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
"Chloro-3 propanediol-1,2","3-Chloro-1,2-dihydroxypropane",96-24-2,Classification not available,"1,0%",
Chloro-3 propène,3-Chloropropene,107-05-1,Class B2 - Flammable liquids,"1,0%",
Chloro-3 propène,3-Chloropropene,107-05-1,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
4-Chloro-3-nitrotoluène,4-Chloro-3-nitrotoluene,89-60-1,Classification not available,"1,0%",
Chloro-4 aniline,p-Chloroaniline,106-47-8,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Chloro-4 aniline,p-Chloroaniline,106-47-8,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chloro-4 butène-2 ol-1 (trans-),trans-4-Chloro-2-butene-1-ol,1576-93-8,Not controlled product,Non requise,
3-Chloro-4-aminoaniline,3-Chloro-4-aminoaniline,615-66-7,Classification not available,"1,0%",
3-Chloro-4-méthylphényl isocyanate,3-Chloro-4-methylphenyl isocyanate,28479-22-3,Classification not available,"1,0%",
Chloroacétate d'éthyle,Ethyl chloroacetate,105-39-5,Classification not available,"1,0%",
Chloroacétonitrile,Chloroacetonitrile,107-14-2,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chloroacétonitrile,Chloroacetonitrile,107-14-2,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chloroacétophénone,Phenacyl chloride,532-27-4,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chloroacétophénone,Phenacyl chloride,532-27-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chloroacétophénone,Phenacyl chloride,532-27-4,Class E - Corrosive materials,"1,0%",
Chlorobenzène,Chlorobenzene,108-90-7,Class B2 - Flammable liquids,"1,0%",
Chlorobenzène,Chlorobenzene,108-90-7,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorobenzène,Chlorobenzene,108-90-7,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorobenzène sulfonate de sodium (para-),"p-Chlorobenzenesulfonic acid, sodium salt",5138-90-9,Classification not available,"1,0%",
Chlorobenzylidène malononitrile (ortho-),o-Chlorobenzylidene malononitrile,2698-41-1,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorochromate de potassium,Potassium chlorochromate,16037-50-6,Class C - Oxidizing materials,"1,0%",
Chlorodibromométhane,Dibromochloromethane,124-48-1,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chloroéthane,Ethyl chloride,75-00-3,Class A - Compressed gases,"1,0%",
Chloroéthane,Ethyl chloride,75-00-3,Class B1 - Flammable gases,"1,0%",
Chlorofluorométhane,Chlorofluoromethane,593-70-4,Class A - Compressed gases,"1,0%",
Chloroformate de méthyle,Methylchloroformate,79-22-1,Classification not available,"1,0%",
Chloroformate d'éthyle,Ethyl chloroformate,541-41-3,Classification not available,"1,0%",
Chloroforme,Chloroform,67-66-3,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Chloroforme,Chloroform,67-66-3,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chloroforme,Chloroform,67-66-3,Class D2B - Toxic material causing other toxic effects,"0,1%",
Chloroformiate d'allyle,Allyl chloroformate,2937-50-0,Class B2 - Flammable liquids,"1,0%",
Chloroformiate d'allyle,Allyl chloroformate,2937-50-0,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chloroformiate d'allyle,Allyl chloroformate,2937-50-0,Class E - Corrosive materials,"1,0%",
Chloroformiate de benzyle,Benzyl chloroformate,501-53-1,Classification not available,"1,0%",
Chloroformiate de chlorométhyle,Chloromethyl chloroformate,22128-62-7,Classification not available,"1,0%",
Chloroformiate de éthyl-2 hexyle,2-Ethylhexyl chloroformate,24468-13-1,Classification not available,"1,0%",
Chloroformiate de n-propyle,n-Propyl chloroformate,109-61-5,Classification not available,"1,0%",
Chloroformiate de phényle,Phenyl chloroformate,1885-14-9,Classification not available,"1,0%",
Chloroformiate de tert-butylcyclohexyle,tert-Butylcyclohexyl chloroformate,70042-58-9,Classification not available,"1,0%",
Chloroformiate d'isopropyle,Isopropyl chloroformate,108-23-6,Classification not available,"1,0%",
Chloro-m-crésol,Chloro-m-cresol,54548-50-4,Classification not available,"1,0%",
Chloronitroaniline,Chloronitroaniline,41587-36-4,Classification not available,"1,0%",
Chloro-o-anisidine (para-),p-Chloro-o-anisidine,93-50-5,Classification not available,"1,0%",
4-Chloro-o-toluidine,4-Chloro-o-toluidine,95-69-2,Classification not available,"1,0%",
"4-Chloro-o-toluidine, chlorhydrate de",4-Chloro-o-toluidine hydrochloride,3165-93-3,Classification not available,"1,0%",
Chloropalladate d'ammonium,Ammonium chloropalladate,19168-23-1,Classification not available,"1,0%",
Chloropalladate de potassium,Potassium palladium chloride,10025-98-6,Classification not available,"1,0%",
Chloropalladite d'ammonium,Ammonium chloropalladite,13820-40-1,Classification not available,"1,0%",
Chlorophénol (méta-),Chlorophenol (meta-),108-43-0,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorophénol (méta-),Chlorophenol (meta-),108-43-0,Class E - Corrosive materials,"1,0%",
Chlorophénol (ortho-),Chlorophenol (ortho-),95-57-8,Class B3 - Combustible liquids,"0,1%",
Chlorophénol (ortho-),Chlorophenol (ortho-),95-57-8,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Chlorophénol (ortho-),Chlorophenol (ortho-),95-57-8,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chlorophénol (ortho-),Chlorophenol (ortho-),95-57-8,Class E - Corrosive materials,"0,1%",
Chlorophénol (para-),Chlorophenol (para-),106-48-9,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorophénol (para-),Chlorophenol (para-),106-48-9,Class E - Corrosive materials,"1,0%",
Chlorophényltrichlorosilane,Chlorophenyltrichlorosilane,26571-79-9,Classification not available,"1,0%",
Chloroprène (bêta-),beta-Chloroprene,126-99-8,Class B2 - Flammable liquids,"0,1%",
Chloroprène (bêta-),beta-Chloroprene,126-99-8,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Chloroprène (bêta-),beta-Chloroprene,126-99-8,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chloroprène (bêta-),beta-Chloroprene,126-99-8,Class F - Dangerously reactive materials,"0,1%",
Chlorostyrène,Chlorostyrene,1331-28-8,Class B3 - Combustible liquids,"1,0%",
Chlorostyrène (méta-),meta-Chlorostyrene,2039-85-2,Class B3 - Combustible liquids,"1,0%",
Chlorostyrène (ortho-),ortho-Chlorostyrene,2039-87-4,Class B3 - Combustible liquids,"1,0%",
Chlorostyrène (para-),para-Chlorostyrene,1073-67-2,Class B3 - Combustible liquids,"1,0%",
Chlorothioformiate d'éthyle,Ethyl chlorothioformate,2812-73-9,Classification not available,"1,0%",
Chlorothiophénol (para-),p-Chlorothiophenol,106-54-7,Classification not available,"1,0%",
Chlorotoluène (ortho-),o-Chlorotoluene,95-49-8,Class B3 - Combustible liquids,"1,0%",
Chlorotoluène (ortho-),o-Chlorotoluene,95-49-8,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorotoluène (para-),p-Chlorotoluene,106-43-4,Class B3 - Combustible liquids,"1,0%",
Chlorotoluène (para-),p-Chlorotoluene,106-43-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorotrifluoroéthylène,Trifluorochloroethylene,79-38-9,Class A - Compressed gases,"1,0%",
Chlorotrifluoroéthylène,Trifluorochloroethylene,79-38-9,Class B1 - Flammable gases,"1,0%",
Chlorotrifluoroéthylène,Trifluorochloroethylene,79-38-9,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorotrifluorométhane,Chlorotrifluoromethane,75-72-9,Class A - Compressed gases,"1,0%",
Chlorure chromeux,Chromous chloride,10049-05-5,Not controlled product,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique chrome (II), composés, n.s.a (non spécifié autrement). La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Chlorure chromique,Chromic chloride,10025-73-7,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Chlorure chromique hexahydraté,Chromic chloride hexahydrate,10060-12-5,Not controlled product,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique chrome (III), composés, n.s.a (non spécifié autrement). La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Chlorure cuivreux,Cuprous chloride,7758-89-6,Class E - Corrosive materials,"1,0%",
Chlorure cuivrique,Cupric chloride,7447-39-4,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique cuivre, composés, n.s.a (non spécifié autrement)."
Chlorure cuivrique,Cupric chloride,7447-39-4,Class E - Corrosive materials,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique cuivre, composés, n.s.a (non spécifié autrement)."
Chlorure cuivrique dihydraté,Cupric chloride dihydrate,10125-13-0,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique cuivre, composés, n.s.a (non spécifié autrement)."
Chlorure cuivrique dihydraté,Cupric chloride dihydrate,10125-13-0,Class E - Corrosive materials,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique cuivre, composés, n.s.a (non spécifié autrement)."
Chlorure cyanurique,Cyanuric chloride,108-77-0,Classification not available,"1,0%",
Chlorure d'acétylcholine,Acetylcholine chloride,60-31-1,Not controlled product,Non requise,
Chlorure d'acétyle,Acetyl chloride,75-36-5,Class B2 - Flammable liquids,"1,0%",
Chlorure d'acétyle,Acetyl chloride,75-36-5,Class E - Corrosive materials,"1,0%",
Chlorure d'acétyle,Acetyl chloride,75-36-5,Class F - Dangerously reactive materials,"1,0%",
Chlorure d'acétylsulfanilyle,Acetylsulfanilyl chloride,121-60-8,Not controlled product,Non requise,
Chlorure d'alkyl(C12-C16) diméthylbenzylammonium,Alkyl(C12-C16) dimethylbenzylammonium chloride,68424-85-1,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure d'alkyl(C12-C16) diméthylbenzylammonium,Alkyl(C12-C16) dimethylbenzylammonium chloride,68424-85-1,Class E - Corrosive materials,"1,0%",
Chlorure d'alkyldiméthyl benzylammonium,Benzylalkonium chloride,8001-54-5,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure d'alkyldiméthyl benzylammonium,Benzylalkonium chloride,8001-54-5,Class E - Corrosive materials,"1,0%",
Chlorure d'ammonium,Ammonium chloride,12125-02-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorure d'argent,Silver chloride,7783-90-6,Not controlled product,Non requise,
Chlorure de baryum,Barium chloride,10361-37-2,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de baryum dihydraté,Barium chloride dihydrate,10326-27-9,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de benzènesulfonyle,Benzenesulfonyl chloride,98-09-9,Classification not available,"1,0%",
Chlorure de benzènethiophosphonyle,Benzene phosphonic thiodichloride,14684-25-4,Classification not available,"1,0%",
Chlorure de benzoyle,Benzoyl chloride,98-88-4,Classification not available,"1,0%",
Chlorure de benzyltriméthylammonium,Benzyltrimethylammonium chloride,56-93-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorure de bismuth,Bismuth chloride,7787-60-2,Not controlled product,Non requise,
Chlorure de brome,Bromine chloride,13863-41-7,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de brome,Bromine chloride,13863-41-7,Class E - Corrosive materials,"1,0%",
Chlorure de butyryle,Butyryl chloride,141-75-3,Classification not available,"1,0%",
Chlorure de cadmium,Cadmium chloride,10108-64-2,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Chlorure de cadmium,Cadmium chloride,10108-64-2,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chlorure de calcium,Calcium chloride,10043-52-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorure de calcium dihydraté,Calcium chloride dihydrate,10035-04-8,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorure de césium,Cesium chloride,7647-17-8,Classification not available,"1,0%",
Chlorure de cétylpyridinium,Cetylpyridinium  chloride,123-03-5,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de cétylpyridinium,Cetylpyridinium  chloride,123-03-5,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorure de chloracétyle,Chloracetyl chloride,79-04-9,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de chloracétyle,Chloracetyl chloride,79-04-9,Class E - Corrosive materials,"1,0%",
Chlorure de chloro-4 benzyle,p-Chlorobenzyl chloride,104-83-6,Classification not available,"1,0%",
Chlorure de choline,Choline chloride,67-48-1,Not controlled product,Non requise,
Chlorure de choline 60%,Choline chloride 60%,,Not controlled product,Non requise,
Chlorure de choline 70%,Choline chloride 70%,,Not controlled product,Non requise,
Chlorure de chromyle,Chromic oxychloride,14977-61-8,Class C - Oxidizing materials,"1,0%",
Chlorure de chromyle,Chromic oxychloride,14977-61-8,Class E - Corrosive materials,"1,0%",
Chlorure de chromyle,Chromic oxychloride,14977-61-8,Class F - Dangerously reactive materials,"1,0%",
Chlorure de cyanogène,Cyanogen chloride,506-77-4,Class A - Compressed gases,"1,0%",
Chlorure de cyanogène,Cyanogen chloride,506-77-4,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de cyanogène,Cyanogen chloride,506-77-4,Class E - Corrosive materials,"1,0%",
Chlorure de dialkyl(C12-C18)diméthylammonium,(C12-C18) Dialkyldimethylammonium chloride,68391-05-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorure de dichloroacétyle,"2,2-Dichloroacetyl chloride",79-36-7,Classification not available,"1,0%",
Chlorure de diéthylthiophosphoryle,Diethylthiophosphory chloride,2524-04-1,Classification not available,"1,0%",
Chlorure de gallium (III),Gallium(III) chloride,13450-90-3,Classification not available,"1,0%",
Chlorure de lanthane heptahydraté,Lanthanum chloride heptahydrate,10025-84-0,Not controlled product,Non requise,
Chlorure de magnésium,Magnesium chloride,7786-30-3,Not controlled product,Non requise,
Chlorure de magnésium hexahydraté,Magnesium chloride hexahydrate,7791-18-6,Not controlled product,Non requise,
Chlorure de mercure(I),Mercury(I) chloride,10112-91-1,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de méthylène,Methylene chloride,75-09-2,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Chlorure de méthylène,Methylene chloride,75-09-2,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chlorure de méthylène,Methylene chloride,75-09-2,Class D2B - Toxic material causing other toxic effects,"0,1%",
Chlorure de méthylmercure,Methylmercury chloride,115-09-3,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chlorure de méthylphosphoneux,Methyl phosphonous dichloride,676-83-5,Classification not available,"1,0%",
Chlorure de méthylphosphonothioïque,Methyl phosphonothioic dichloride,676-98-2,Classification not available,"1,0%",
"Chlorure de N,N-diméthylcarbamyle","N,N-Dimethylcarbamoyl chloride",79-44-7,Classification not available,"0,1%",
"Chlorure de N-alkyl(C8-C18) N,N-diméthyldichloro-3,4 benzylammonium","N-Alkyl(C8-C18)-N,N-dimethyl-3,4-dichlorobenzylammonium chloride",8023-53-8,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
"Chlorure de N-alkyl(C8-C18) N,N-diméthyldichloro-3,4 benzylammonium","N-Alkyl(C8-C18)-N,N-dimethyl-3,4-dichlorobenzylammonium chloride",8023-53-8,Class D2B - Toxic material causing other toxic effects,"1,0%",
Chlorure de nickel hexahydraté,Nickel chloride hexahydrate,7791-20-0,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Chlorure de nickel hexahydraté,Nickel chloride hexahydrate,7791-20-0,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chlorure de nitrosyle,Nitrogen oxychloride,2696-92-6,Classification not available,"1,0%",
Chlorure de palladium (II),Palladium(II) chloride,7647-10-1,Classification not available,"1,0%",
Chlorure de palladium (II) bis(di(bêta-chloroéthyl)sulfure),Bis(di-(beta-chloroethyl)sulfide)palladous chloride,64047-35-4,Classification not available,"1,0%",
Chlorure de p-anisoyle,Anisoyl chloride,100-07-2,Classification not available,"1,0%",
Chlorure de phénylcarbylamine,Phenylcarbylamine chloride,622-44-6,Classification not available,"1,0%",
Chlorure de pivalyle,Pivaloyl chloride,3282-30-2,Classification not available,"1,0%",
Chlorure de platine (II),Platinum(II) chloride,10025-65-7,Classification not available,"0,1%",
Chlorure de polyvinyle,Polyvinyl chloride,9002-86-2,Not controlled product,Non requise,
Chlorure de potassium,Potassium chloride,7447-40-7,Not controlled product,Non requise,
"Chlorure de potassium 23,8%","Potassium chloride 23,8%",,Not controlled product,Non requise,
Chlorure de rubidium,Rubidium chloride,7791-11-9,Classification not available,"1,0%",
Chlorure de sodium,Sodium chloride,7647-14-5,Not controlled product,Non requise,
Chlorure de soufre,Sulfur chloride,10025-67-9,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de soufre,Sulfur chloride,10025-67-9,Class E - Corrosive materials,"1,0%",
Chlorure de strontium,Strontium chloride,10476-85-4,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Chlorure de strontium dihydraté,Strontium chloride dihydrate,16056-95-4,Not controlled product,Non requise,
Chlorure de strontium hexahydraté,Strontium chloride hexahydrate,10025-70-4,Not controlled product,Non requise,
Chlorure de sulfuryle,Sulfuryl chloride,7791-25-5,Classification not available,"1,0%",
Chlorure de terbium,Terbium chloride,10042-88-3,Classification not available,"1,0%",
Chlorure de thallium,Thallous chloride,7791-12-0,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de thionyle,Thionyl chloride,7719-09-7,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure de thionyle,Thionyl chloride,7719-09-7,Class E - Corrosive materials,"1,0%",
Chlorure de thionyle,Thionyl chloride,7719-09-7,Class F - Dangerously reactive materials,"1,0%",
Chlorure de thiophosphoryle,Thiophosphoryl chloride,3982-91-0,Class B6 - Reactive flammable materials,"1,0%",
Chlorure de thiophosphoryle,Thiophosphoryl chloride,3982-91-0,Class E - Corrosive materials,"1,0%",
Chlorure de thulium,Thulium chloride,13537-18-3,Classification not available,"1,0%",
Chlorure de tributylétain,Tributyltin chloride,1461-22-9,Classification not available,"1,0%",
Chlorure de trichloroacétyle,Trichloroacetyl chloride,76-02-8,Classification not available,"1,0%",
Chlorure de triméthylétain,Trimethyltin chloride,1066-45-1,Classification not available,"0,1%",
Chlorure de triphénylétain,Triphenyltin chloride,639-58-7,Classification not available,"1,0%",
Chlorure de valéryle,Valeryl chloride,638-29-9,Classification not available,"1,0%",
Chlorure de vinyle,Vinyl chloride,75-01-4,Class A - Compressed gases,"0,1%",
Chlorure de vinyle,Vinyl chloride,75-01-4,Class B1 - Flammable gases,"0,1%",
Chlorure de vinyle,Vinyl chloride,75-01-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chlorure de vinyle,Vinyl chloride,75-01-4,Class D2B - Toxic material causing other toxic effects,"0,1%",
Chlorure de vinyle,Vinyl chloride,75-01-4,Class F - Dangerously reactive materials,"0,1%",
Chlorure de zinc,Zinc chloride,7646-85-7,Class E - Corrosive materials,"1,0%",
Chlorure d'éthylphosphoneux,Ethyl phosphonous dichloride,1498-40-4,Classification not available,"1,0%",
Chlorure d'hydrogène,Hydrogen chloride,7647-01-0,Class A - Compressed gases,"1,0%",
Chlorure d'hydrogène,Hydrogen chloride,7647-01-0,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Chlorure d'hydrogène,Hydrogen chloride,7647-01-0,Class E - Corrosive materials,"1,0%",
Chlorure d'isobutyryle,Isobutyryl chloride,79-30-1,Classification not available,"1,0%",
Chlorure d'isophtalyle,Isophthaloyl chloride,99-63-8,Classification not available,"1,0%",
Chlorure d'ytterbium,Ytterbium chloride,10361-91-8,Classification not available,"1,0%",
Chlorure ferreux,Ferrous chloride,7758-94-3,Class E - Corrosive materials,"1,0%","Ce produit est inscrit sur le Liste de divulgation des ingrédients sous la dénomination chimique Fer, sels hydrosolubles, n.s.a (non spécifié autrement)."
Chlorure ferreux tétrahydraté,Ferrous chloride tetrahydrate,13478-10-9,Class E - Corrosive materials,"1,0%","Ce produit est inscrit sur le Liste de divulgation des ingrédients sous la dénomination chimique Fer, sels hydrosolubles, n.s.a (non spécifié autrement)."
Chlorure ferrique,Ferric chloride,7705-08-0,Class E - Corrosive materials,"1,0%","Ce produit est inscrit sur le Liste de divulgation des ingrédients sous la dénomination chimique Fer, sels hydrosolubles, n.s.a (non spécifié autrement)."
"Chlorure ferrique 10% (0,669N)","Ferric chloride 10% (0,669N)",,Class E - Corrosive materials,Non requise,
"Chlorure ferrique 2% (0,125N)","Ferric chloride 2% (0,125N)",,Class E - Corrosive materials,Non requise,
Chlorure mercureux,Mercurous chloride,7546-30-7,Classification not available,"1,0%",
Chlorure mercurique,Mercuric chloride,7487-94-7,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Chlorure mercurique,Mercuric chloride,7487-94-7,Class D2B - Toxic material causing other toxic effects,"0,1%",
Chlorure mercurique ammoniacal,Ammoniated mercuric chloride,10124-48-8,Classification not available,"1,0%",
Chlorure stanneux,Stannous chloride,7772-99-8,Classification not available,"1,0%",
Chlorure stanneux dihydraté,Stannous chloride dihydrate,10025-69-1,Classification not available,"1,0%",
Chlorure stannique pentahydraté,Stannic chloride pentahydrate,10026-06-9,Class E - Corrosive materials,"1,0%",
"Chromate (1-), bis(((chloro-5 hydroxy-2 phényl)azo)-1 naphthalénolato-2 (2-)), hydrogène","Chromate (1-), bis(1-((5-chloro-2-hydroxyphenyl)azo)-2-naphthalenolato(2-))-, hydrogen",31714-55-3,Not controlled product,Non requise,
Chromate d'ammonium,Ammonium chromate,7788-98-9,Class C - Oxidizing materials,"0,1%",
Chromate d'ammonium,Ammonium chromate,7788-98-9,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chromate d'ammonium,Ammonium chromate,7788-98-9,Class D2B - Toxic material causing other toxic effects,"0,1%",
Chromate d'ammonium,Ammonium chromate,7788-98-9,Class F - Dangerously reactive materials,"0,1%",
Chromate de baryum,Barium chromate,10294-40-3,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Chromate de baryum,Barium chromate,10294-40-3,Class D2B - Toxic material causing other toxic effects,"0,1%",
Chromate de calcium,Calcium chromate,13765-19-0,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Chromate de calcium,Calcium chromate,13765-19-0,Class D2A - Very toxic material causing other toxic effects,"0,1%",
